name,category,review,emojis,rating,url,is_emoji,emojis_converted,emoji_list,is_positive
Celimax The Vita-A Retinol Shot Tightening Serum,Сыворотка для лица,"Вызвал скатывание кожи, некоторые участки кожи стали красными",,2,https://hollyshop.ru/catalog/product/podtyagivayushchaya_syvorotka_s_retinolom_i_mikroiglami_celimax_the_vita_a_retinol_shot_tightening_s/reviews/,False,[],[],False
Celimax The Vita-A Retinol Shot Tightening Serum,Сыворотка для лица,"Никакого эффекта по сужению пор или осветлению пигментных пятен не заметила, хотя пользовалась средством больше 3-х месяцев",,1,https://hollyshop.ru/catalog/product/podtyagivayushchaya_syvorotka_s_retinolom_i_mikroiglami_celimax_the_vita_a_retinol_shot_tightening_s/reviews/,False,[],[],False
Celimax The Vita-A Retinol Shot Tightening Serum,Сыворотка для лица,"Пишу через неделю после использованияК сожалению мне продукт не подошелЯ с ретиноидами знакома, опыт не был новымПосле первого нанесения сильно обсыпало, хотя я только кожу вылечила, таких высыпаний обильных больше года не былоНаносила на чистую полностью сухую кожу, как указано внутри коробочки, через пол часика закрыла кремом от этой же фирмы, но, к сожалению, видимо, не мой продукт Покалываний при нанесении, как должно быть с микроиглами, совсем не ощутила Хотя бустер этой же фирмы мне показался рабочим",,2,https://hollyshop.ru/catalog/product/podtyagivayushchaya_syvorotka_s_retinolom_i_mikroiglami_celimax_the_vita_a_retinol_shot_tightening_s/reviews/,False,[],[],False
Celimax The Vita-A Retinol Shot Tightening Serum,Сыворотка для лица,"До покупки я видела очень много отзывов на это средство, поэтому со своим отзывам я не спешила. Использовать ещё в начале лета, поэтому сейчас мне есть что сказать.  Для контекста: Во-первых, у меня тонкая, чувствительная кожа с пигментацией и точечными высыпаниями / 24 года. Во-вторых, с ретинолом моя кожа знакома уже очень давно, поэтому никакого длительного периода с постепенным вводом средства в уход у меня не было.Скажу честно — я не понимаю, какой эффект дал мне этот продукт… Да, я чувствую ""особенность"" его текстуры. Да, я вижу этот яркий цвет (благодаря красителю). Но по отношению к состоянию кожи — почти ничего. ""Почти"" только из-за того, что при его использовании какие-то прыщики быстрее созревают.",,3,https://hollyshop.ru/catalog/product/podtyagivayushchaya_syvorotka_s_retinolom_i_mikroiglami_celimax_the_vita_a_retinol_shot_tightening_s/reviews/,False,[],[],False
Celimax The Vita-A Retinol Shot Tightening Serum,Сыворотка для лица,"Не обнаружила никаких положительных изменений. Кожа у меня комбинированная с расширенными порами. Как будто та же бадяга ( как раз это и есть микроиглы), только в красивой баночке и с сывороткой, и соответствующей стоимостью.",,1,https://hollyshop.ru/catalog/product/podtyagivayushchaya_syvorotka_s_retinolom_i_mikroiglami_celimax_the_vita_a_retinol_shot_tightening_s/reviews/,False,[],[],False
Celimax The Vita-A Retinol Shot Tightening Serum,Сыворотка для лица,Пока не знаю как оценить товар. Есть вопросы по поводу:как вводить данный уход чтобы не вызвать «ожога» на лице и можно ли применять его с кремом в составе которого азелаиновая кислота?,,3,https://hollyshop.ru/catalog/product/podtyagivayushchaya_syvorotka_s_retinolom_i_mikroiglami_celimax_the_vita_a_retinol_shot_tightening_s/reviews/,False,[],[],False
Celimax The Vita-A Retinol Shot Tightening Serum,Сыворотка для лица,"моя кожа уже очень давно адаптированна к ретинолу но продукт данной серии вызвал высыпания, именно эта сыворотка, бустер из этой линейки и правда хороший, главное не наносите под глаза-получите в 3 раза больше морщин",,3,https://hollyshop.ru/catalog/product/podtyagivayushchaya_syvorotka_s_retinolom_i_mikroiglami_celimax_the_vita_a_retinol_shot_tightening_s/reviews/,False,[],[],False
AXIS-Y Glow Your Own Way,Набор средств для ухода,"Купила данный набор в подарок. Заказала доставкой. Данный набор был упакован, повреждений упаковки не было. Пришла домой и вскрыла упаковку. На данном наборе отсутствовала защитная наклейка, от вскрытия. Открыв увидела что на креме наклейка была вскрыта коробка надорвана, сама банка была липкой. Это капец На остальных товарах наклей была не тронута. Вот сижу и думаю кто и что делал с кремом.",:rage: :face_with_symbols_on_mouth:,1,https://hollyshop.ru/catalog/product/limitirovannyy_nabor_bestsellerov_axis_y_glow_your_own_way/reviews/,True,"['😡', '🤬']","[':rage:', ':face_with_symbols_on_mouth:']",False
AXIS-Y Glow Your Own Way,Набор средств для ухода,"Сыворотка для век, вожу сухим шариком, что делать уже и в бот написала ?!и трясла и крутила сухой шарик",,1,https://hollyshop.ru/catalog/product/limitirovannyy_nabor_bestsellerov_axis_y_glow_your_own_way/reviews/,False,[],[],False
medicube TXA Niacinamide Capsule Cream,Крем для лица,"Увлажнения мало и не поняла для чего там розовый краситель, который окрашивает лицо",,3,https://hollyshop.ru/catalog/product/osvetlyayushchiy_kapsulnyy_krem_s_5_niatsinamida_medicube_txa_niacinamaide_capsule_cream/reviews/,False,[],[],False
medicube TXA Niacinamide Capsule Cream,Крем для лица,Очень липкий. Долго впитывается.,,2,https://hollyshop.ru/catalog/product/osvetlyayushchiy_kapsulnyy_krem_s_5_niatsinamida_medicube_txa_niacinamaide_capsule_cream/reviews/,False,[],[],False
medicube TXA Niacinamide Capsule Cream,Крем для лица,"Не поняла этот крем . Мне не нравится , что после него достаточно долго липкое лицо . Второй раз точно не куплю !",,3,https://hollyshop.ru/catalog/product/osvetlyayushchiy_kapsulnyy_krem_s_5_niatsinamida_medicube_txa_niacinamaide_capsule_cream/reviews/,False,[],[],False
medicube TXA Niacinamide Capsule Cream,Крем для лица,"Липкий, использовать некомфортно Эффекта не увидела. Использовала вместе с микротоками от медикуб",,2,https://hollyshop.ru/catalog/product/osvetlyayushchiy_kapsulnyy_krem_s_5_niatsinamida_medicube_txa_niacinamaide_capsule_cream/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Использовала половину тюбика, эффекта на себе так и не увидела, кажется моя кожа не воспринимает ретинолы в любой форме, морщинки на лбу так и не разгладил, плюс мб в области глаз работает, а так если есть уже возрастные морщины он с ними не справляется",,2,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Подделка!!!! беру этот крем не первый и не во второй раз , не думала что в вашем магазине может быть такое , очень обидно , ведь продукт не дешевый , запах какого то детского крема и не какого пощипывания и покалывания , вот не единого , как от прошлых покупок данного крема , крайне не рекомендую",,1,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"ну не знаю, что-то я вовсе не увидела никакого эффекта. периодически еще с него обсыпало, никакие заломы не уменьшились, покалывания тоже не было, что заставило усомниться в оригинальности. может, дело в том, что кожа не возрастная, но на разглаживание заломов я как минимум рассчитывала. а они какими были, такими и остались. может, дам второй шанс, возможно, использовала недостаточно регулярно. но с таким мощным составом и маркетингом ожидала чего-то получше.",,2,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Это у кого он там работает? и как же? никакого покалывания, нулевой эффект, на коже желтый, можно сразу выкидывать. Причем их же сыворотка шикарная, прошли за неделю все высыпания, кожа намного лучше.",,1,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Заказала этот бустер и сыворотку этого же бренда ,но почему то ни от одного продукта не чувствую покалываний,начала сомневаться в оригинальности товара (",,3,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Не зашло, начались высыпания, не очень понравилось",,2,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Я не поняла этот продукт. Во-первых, он очень густой и тяжело распределить горошину. Так должно быть? Во-вторых, я не почувствовала никаких спикул, никаких покалываний. Про эффект не могу сказать, так как было первое использование.",,2,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Так и не поняла за что отдала деньги . Никакие спикулы не чувствую. Эффекта абсолютно никакого ,хотя пользуюсь больше месяца. Повелась на хвальбу от всяких блогеров ((",,1,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Почти закончился 1-й тюбик и вот отзыв (мне 39). Идем по описанию:  1. оказывает выраженный лифтинг-эффект - не заметила  2. предотвращает птоз тканей - по 1-й упаковке сложно оценить, скорее нет 3. сокращает статические и мимические морщины, уменьшает их глубину - не заметила 4. при регулярном использовании крем выравнивает тон и текстуру кожи за счёт сужения пор и осветления - сужения пор точно нет, выравнивание, может. Точно подсушивает и быстрей уходят единичные постакне. На белых подушках оставляет след.",,3,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Celimax The Vita-A Retinal Shot Tightening Booster,Локальный крем,"Абсолютная фигня , ничего не делает,тяжело распределяется,и красит лицо ,оно после него зеленого цвета,вроде бы и ладно,но все равно не приятно,спикулы там тоже никакие не чувствуются",,1,https://hollyshop.ru/catalog/product/podtyagivayushchiy_buster_krem_s_retinalem_celimax_the_vita_a_retinal_shot_tightening_booster/reviews/,False,[],[],False
Biodance Radiant Vita Niacinamide Real Deep Mask,Гидрогелевая маска,"К сожалению, мне пришёл какой-то брак (?) с неровным краем и неудачным эффектом - все лицо красное. Думаю, что дело не в компонентах, и это единичный случай",,3,https://hollyshop.ru/catalog/product/gidrogelevaya_maska_s_niatsinamidom_dlya_siyaniya_kozhi_biodance_radiant_vita_niacinamide_real_deep_/reviews/,False,[],[],False
Biodance Radiant Vita Niacinamide Real Deep Mask,Гидрогелевая маска,Маска пришла бракованная!заявленного результата не увидела!,,2,https://hollyshop.ru/catalog/product/gidrogelevaya_maska_s_niatsinamidom_dlya_siyaniya_kozhi_biodance_radiant_vita_niacinamide_real_deep_/reviews/,False,[],[],False
Biodance Radiant Vita Niacinamide Real Deep Mask,Гидрогелевая маска,"За ночь вся маска впиталась, но супер эффекта не заметила)",,3,https://hollyshop.ru/catalog/product/gidrogelevaya_maska_s_niatsinamidom_dlya_siyaniya_kozhi_biodance_radiant_vita_niacinamide_real_deep_/reviews/,False,[],[],False
Celimax Dual Barrier Skin Wearable Cream,Крем для лица,"Ужасно забил поры. Ни один спф, тональный не забивал мне так быстро поры, как этот крем. На щеках и лбу россыпи мелких закрытых комедонов, даже косметолог удивилась, как за неделю такое могло произойти. Расстроилась ужасно, сейчас буду лечить кожу. Девушки с проблемной кожей, будьте аккуратны.",,2,https://hollyshop.ru/catalog/product/barernyy_krem_s_kompleksom_keramidov_celimax_dual_barrier_skin_wearable_cream/reviews/,False,[],[],False
Celimax Dual Barrier Skin Wearable Cream,Крем для лица,"Крем моей коже не подошел, увлажнение не очень, результата никакого. Больше не возьму.",,3,https://hollyshop.ru/catalog/product/barernyy_krem_s_kompleksom_keramidov_celimax_dual_barrier_skin_wearable_cream/reviews/,False,[],[],False
